MaterialID,Plant,Batch,OnHandQty,UnitCost,StorageType,PostingDate,MoH
M0108,US01,B009,116,66.56,FG,7/28/2025,0.38007863695937094
M0107,US02,B003,406,12.02,RM,7/25/2025,1.3302752293577982
M0106,US01,B004,398,39.14,FG,7/5/2025,1.3040629095674967
M0106,US02,B003,460,5.47,FG,7/10/2025,1.507208387942333
M0106,US01,B009,188,17.64,WIP,6/21/2025,0.6159895150720839
M0103,US01,B009,357,78.44,FG,8/1/2025,1.1697247706422018
M0106,US02,B006,429,91.55,RM,7/9/2025,1.4056356487549149
M0108,US01,B002,335,69.57,WIP,7/12/2025,1.0976408912188729
M0106,US01,B005,66,34.35,WIP,6/21/2025,0.2162516382699869
M0101,US02,B002,297,96.16,RM,6/27/2025,0.9731323722149411
